loc,Pred_loc,dist_localization_error_pd
"78,110","75,110",3.0
"179,42","178,38",4.12
"83,65","79,65",4.0
"36,60","38,57",3.61
"156,53","155,52",1.41
"130,108","128,108",2.0
"19,127","18,128",1.41
"46,110","45,109",1.41
"112,120","109,117",4.24
"90,22","90,20",2.0
"39,16","39,13",3.0
"62,73","60,73",2.0
"162,11","160,11",2.0
"32,110","30,111",2.24
"167,121","169,119",2.83
"48,3","43,2",5.1
"6,22","8,18",4.47
"54,109","52,110",2.24
"110,30","108,30",2.0
"149,95","149,94",1.0
"133,81","132,81",1.0
"20,107","20,106",1.0
"170,127","170,126",1.0
"154,68","155,67",1.41
"118,107","116,106",2.24
"5,30","5,28",2.0
"172,41","170,38",3.61
"123,81","123,80",1.0
"40,100","37,100",3.0
"94,24","92,21",3.61
"64,98","62,97",2.24
"186,104","184,103",2.24
"65,14","63,14",2.0
"113,117","111,116",2.24
"166,56","164,52",4.47
"173,107","171,107",2.0
"5,33","5,32",1.0
"70,6","66,2",5.66
"85,16","84,16",1.0
"74,59","72,56",3.61
"32,8","33,4",4.12
"1,88","2,90",2.24
"57,99","56,98",1.41
"182,47","183,50",3.16
"171,80","171,78",2.0
"163,130","160,129",3.16
"65,69","62,69",3.0
"46,129","45,128",1.41
"131,130","129,128",2.83
"78,44","77,43",1.41
"96,29","96,28",1.0
"31,26","30,24",2.24
"4,87","6,87",2.0
"103,110","102,108",2.24
"175,79","174,80",1.41
"78,59","79,59",1.0
"53,3","52,2",1.41
"115,101","115,99",2.0
"17,21","21,15",7.21
"130,11","132,10",2.24
"148,41","146,39",2.83
"185,127","186,126",1.41
"61,29","62,25",4.12
"133,72","133,71",1.0
"146,100","145,101",1.41
"108,40","106,39",2.24
"37,71","35,70",2.24
"148,114","148,115",1.0
"78,89","79,89",1.0
"152,59","151,59",1.0
"104,115","103,117",2.24
"51,23","51,24",1.0
"3,49","4,46",3.16
"159,8","156,8",3.0
"86,86","85,85",1.41
"125,37","124,34",3.16
"181,114","180,114",1.0
"93,101","90,100",3.16
"82,73","81,73",1.0
"148,91","147,91",1.0
"115,119","114,118",1.41
"95,83","93,83",2.0
"135,65","134,65",1.0
"132,102","131,103",1.41
"146,40","141,40",5.0
"3,50","2,47",3.16
"92,100","89,100",3.0
"110,117","111,115",2.24
"7,129","5,129",2.0
"64,91","61,91",3.0
"183,105","181,104",2.24
"103,123","97,119",7.21
"11,55","10,57",2.24
"68,67","69,67",1.0
"41,91","41,90",1.0
"66,9","65,7",2.24
"122,114","120,113",2.24
"136,125","135,123",2.24
"113,33","112,35",2.24
"11,59","10,56",3.16
"183,53","181,53",2.0
"103,19","104,20",1.41
"131,54","130,53",1.41
"11,122","10,121",1.41
"39,104","36,105",3.16
"46,17","47,15",2.24
"87,34","84,35",3.16
"63,2","57,1",6.08
"182,66","183,65",1.41
"161,68","162,68",1.0
"75,40","76,39",1.41
"107,96","105,97",2.24
"112,78","111,78",1.0
"71,109","72,108",1.41
"132,125","131,123",2.24
"83,41","79,42",4.12
"37,115","34,116",3.16
"49,84","50,84",1.0
"179,100","178,100",1.0
"155,82","153,82",2.0
"53,1","52,1",1.0
"76,75","78,75",2.0
"108,117","104,114",5.0
"48,45","48,44",1.0
"22,111","21,111",1.0
"63,99","63,98",1.0
"152,32","151,30",2.24
"107,25","107,24",1.0
"81,90","80,90",1.0
"27,116","26,113",3.16
"119,117","119,119",2.0
"109,90","109,89",1.0
"61,126","61,127",1.0
"63,17","62,14",3.16
"21,36","19,37",2.24
"8,60","7,60",1.0
"20,105","19,105",1.0
"96,121","91,118",5.83
"176,30","176,29",1.0
"70,127","72,129",2.83
"49,36","49,35",1.0
"127,103","128,103",1.0
"153,78","152,78",1.0
"172,9","169,10",3.16
"91,90","90,90",1.0
"92,118","89,117",3.16
"174,56","173,57",1.41
"67,27","66,26",1.41
"10,64","9,65",1.41
"8,61","7,59",2.24
"70,84","69,84",1.0
"4,90","6,87",3.61
"121,112","119,112",2.0
"73,115","73,116",1.0
"136,57","136,56",1.0
"139,126","140,128",2.24
"34,34","34,32",2.0
"160,60","161,62",2.24
"76,120","72,120",4.0
"16,79","13,79",3.0
"77,37","78,34",3.16
"124,45","123,42",3.16
"56,75","55,75",1.0
"56,94","57,93",1.41
"117,100","116,100",1.0
"107,75","106,75",1.0
"122,94","121,94",1.0
"31,35","30,33",2.24
"52,86","53,85",1.41
"54,92","54,92",0.0
"56,10","55,10",1.0
"109,69","108,69",1.0
"145,65","144,66",1.41
"145,3","140,3",5.0
"176,102","174,102",2.0
"47,64","46,64",1.0
"145,89","143,89",2.0
"90,14","89,12",2.24
"121,116","119,114",2.83
"68,65","67,65",1.0
"39,77","37,76",2.24
"118,40","117,39",1.41
"151,90","152,90",1.0
"161,35","157,36",4.12
"23,28","25,22",6.32
"162,77","161,75",2.24
"94,119","87,118",7.07
"149,105","149,104",1.0
"8,114","5,112",3.61
"159,68","158,66",2.24
"174,112","173,112",1.0
"13,103","11,101",2.83
"69,107","67,106",2.24
"6,42","7,41",1.41
"101,24","99,24",2.0
"8,106","7,104",2.24
"85,12","86,10",2.24
"101,17","99,16",2.24
"17,41","15,45",4.47
"95,76","93,76",2.0
"170,13","168,10",3.61
"94,38","91,36",3.61
"16,17","12,14",5.0
"122,91","121,91",1.0
"131,13","129,12",2.24
"170,7","173,6",3.16
"153,108","152,108",1.0
"103,79","101,78",2.24
"63,71","62,71",1.0
"129,103","127,101",2.83
"69,12","71,7",5.39
"13,111","14,110",1.41
"173,48","172,48",1.0
"63,88","62,87",1.41
"84,122","83,120",2.24
"183,21","184,19",2.24
"42,121","43,120",1.41
"141,8","140,6",2.24
"21,30","19,28",2.83
"84,121","80,120",4.12
"169,57","168,57",1.0
"28,68","27,67",1.41
"33,57","32,55",2.24
"154,105","153,105",1.0
"162,82","162,83",1.0
"93,15","92,15",1.0
"147,12","146,14",2.24
"83,87","84,87",1.0
"101,66","100,67",1.41
"73,98","70,97",3.16
"153,79","152,78",1.41
"38,89","37,89",1.0
"21,28","18,24",5.0
"30,44","30,42",2.0
"9,62","8,63",1.41
"168,22","167,21",1.41
"181,93","180,92",1.41
"145,122","143,122",2.0
"151,37","147,37",4.0
"133,61","132,61",1.0
"89,31","86,29",3.61
"140,119","140,118",1.0
"72,64","69,64",3.0
"47,21","46,21",1.0
"25,102","22,99",4.24
"104,85","103,84",1.41
"49,68","50,67",1.41
"135,57","135,56",1.0
"111,100","109,100",2.0
"137,53","136,52",1.41
"23,50","24,48",2.24
"127,128","126,130",2.24
"4,126","5,122",4.12
"120,36","119,35",1.41
"137,22","133,21",4.12
"177,36","176,36",1.0
"39,50","36,48",3.61
"166,104","168,104",2.0
"133,96","132,96",1.0
"65,98","62,98",3.0
"39,82","35,81",4.12
"17,22","14,17",5.83
"131,80","130,80",1.0
"22,76","20,76",2.0
"124,75","123,76",1.41
"53,43","53,45",2.0
"2,127","1,127",1.0
"18,74","17,73",1.41
"128,72","128,73",1.0
"168,96","166,96",2.0
"113,128","109,125",5.0
"158,63","157,62",1.41
"83,102","83,103",1.0
"182,17","184,17",2.0
"43,16","44,16",1.0
"37,53","35,53",2.0
"51,43","51,44",1.0
"68,93","65,92",3.16
"157,22","153,19",5.0
"58,14","56,16",2.83
"18,57","17,56",1.41
"27,110","27,107",3.0
"181,41","180,41",1.0
"84,26","81,26",3.0
"70,92","69,92",1.0
"179,85","177,82",3.61
"141,122","139,123",2.24
"76,99","74,98",2.24
"120,63","119,63",1.0
"111,79","112,78",1.41
"116,83","115,84",1.41
"13,54","14,51",3.16
"100,7","96,6",4.12
"15,30","10,38",9.43
"86,128","84,128",2.0
"21,114","18,114",3.0
"155,23","151,21",4.47
"95,27","96,28",1.41
"145,97","146,96",1.41
"179,37","177,37",2.0
"103,105","102,106",1.41
"159,35","159,37",2.0
"4,125","2,121",4.47
"116,87","115,87",1.0
"179,13","174,9",6.4
"100,72","99,72",1.0
"90,66","86,65",4.12
"173,120","172,119",1.41
"49,106","49,107",1.0
"162,87","161,88",1.41
"157,18","154,16",3.61
"74,74","73,74",1.0
"161,92","162,92",1.0
"48,122","47,121",1.41
"101,22","100,19",3.16
"86,114","83,113",3.16
"109,37","108,37",1.0
"100,56","99,56",1.0
"172,68","171,67",1.41
"188,82","187,83",1.41
"120,116","119,114",2.24
"69,36","69,34",2.0
"83,51","82,50",1.41
"59,71","57,71",2.0
"167,75","166,73",2.24
"37,61","37,58",3.0
"144,44","143,45",1.41
"153,114","151,114",2.0
"43,48","43,47",1.0
"128,1","130,1",2.0
"146,58","144,58",2.0
"73,32","70,32",3.0
"59,56","58,57",1.41
"176,116","174,116",2.0
"131,81","130,81",1.0
"122,60","121,58",2.24
"18,70","16,70",2.0
"144,103","143,103",1.0
"95,87","94,87",1.0
"36,44","34,43",2.24
"42,50","39,51",3.16
"91,20","90,19",1.41
"71,103","69,102",2.24
"65,83","64,85",2.24
"86,122","81,119",5.83
"56,107","55,108",1.41
"13,68","12,68",1.0
"138,63","137,63",1.0
"172,99","171,99",1.0
"131,104","129,104",2.0
"9,13","8,10",3.16
"66,94","67,94",1.0
"44,68","43,69",1.41
"34,2","35,1",1.41
"91,101","90,102",1.41
"139,9","132,6",7.62
"95,124","93,123",2.24
"169,84","168,85",1.41
"163,129","161,128",2.24
"53,28","52,26",2.24
"161,53","161,51",2.0
"126,65","126,63",2.0
"135,61","134,60",1.41
"40,115","38,116",2.24
"128,3","130,2",2.24
"94,79","92,79",2.0
"49,30","49,28",2.0
"2,70","1,70",1.0
"165,12","161,8",5.66
"19,45","18,42",3.16
"24,62","23,64",2.24
"167,122","165,121",2.24
"162,50","163,50",1.0
"121,90","121,89",1.0
"82,85","81,84",1.41
"182,40","177,34",7.81
"89,35","85,33",4.47
"80,115","79,116",1.41
"11,71","9,72",2.24
"137,81","136,81",1.0
"16,35","20,28",8.06
"132,47","132,44",3.0
"63,20","61,19",2.24
"90,115","91,117",2.24
"6,84","3,84",3.0
"15,87","15,86",1.0
"68,56","66,54",2.83
"36,61","34,59",2.83
"146,124","145,123",1.41
"50,123","50,124",1.0
"135,20","132,20",3.0
"35,50","33,49",2.24
"110,86","109,85",1.41
"132,37","132,36",1.0
"133,36","132,36",1.0
"30,56","28,56",2.0
"98,118","97,116",2.24
"32,128","33,125",3.16
"90,93","87,92",3.16
"37,62","38,60",2.24
"1,47","2,39",8.06
"43,94","37,94",6.0
"94,29","94,28",1.0
"96,9","93,7",3.61
"104,12","100,8",5.66
"6,118","6,117",1.0
"109,85","108,85",1.0
"6,14","2,11",5.0
"130,119","129,120",1.41
"42,103","41,103",1.0
"187,50","185,49",2.24
"78,108","76,107",2.24
"180,92","178,91",2.24
"185,44","186,46",2.24
"152,98","150,98",2.0
"174,39","172,36",3.61
"150,82","147,82",3.0
"27,69","26,69",1.0
"142,119","140,119",2.0
"159,15","155,15",4.0
"27,9","26,7",2.24
"23,36","23,37",1.0
"89,120","90,122",2.24
"164,127","165,127",1.0
"184,123","183,123",1.0
"174,109","174,108",1.0
"61,24","59,26",2.83
"84,45","83,46",1.41
"18,118","18,117",1.0
"40,17","37,15",3.61
"92,107","89,107",3.0
"110,16","109,14",2.24
"75,7","76,4",3.16
"70,67","71,67",1.0
"4,15","3,12",3.16
"35,43","31,45",4.47
"171,111","169,112",2.24
"169,6","167,8",2.83
"142,37","140,37",2.0
"43,104","41,103",2.24
"154,80","153,81",1.41
"174,18","169,13",7.07
"84,75","83,75",1.0
"122,126","123,124",2.24
"167,67","166,68",1.41
"78,79","78,80",1.0
"50,66","51,64",2.24
"51,35","51,34",1.0
"117,82","118,82",1.0
"101,110","100,109",1.41
"80,39","80,36",3.0
"87,97","86,97",1.0
"103,65","102,64",1.41
"173,88","172,89",1.41
"142,41","140,41",2.0
"187,34","185,31",3.61
"144,29","141,28",3.16
"149,92","148,92",1.0
"154,101","156,101",2.0
"94,109","91,109",3.0
"43,123","42,120",3.16
"143,126","142,125",1.41
"122,96","121,96",1.0
"42,88","40,88",2.0
"149,100","150,99",1.41
"69,57","70,56",1.41
"131,10","130,8",2.24
"51,97","48,98",3.16
"179,51","177,50",2.24
"177,69","178,67",2.24
"71,81","72,81",1.0
"23,46","23,41",5.0
"120,96","121,97",1.41
"90,91","92,91",2.0
"5,63","6,63",1.0
"149,91","147,91",2.0
"127,98","128,98",1.0
"116,125","117,124",1.41
"111,92","109,92",2.0
"17,120","17,117",3.0
"68,25","67,21",4.12
"127,32","128,30",2.24
"17,89","16,89",1.0
"146,119","145,118",1.41
"187,106","184,107",3.16
"182,55","181,55",1.0
"130,46","129,43",3.16
"107,18","107,18",0.0
"174,75","175,73",2.24
"22,75","23,75",1.0
"29,25","32,24",3.16
"3,130","5,129",2.24
"158,58","156,58",2.0
"85,96","85,97",1.0
"156,18","154,16",2.83
"4,59","2,62",3.61
"59,41","60,38",3.16
"135,26","132,25",3.16
"167,70","166,69",1.41
"56,70","53,70",3.0
"173,58","171,58",2.0
"92,95","90,95",2.0
"166,20","163,17",4.24
"34,30","34,28",2.0
"45,59","46,57",2.24
"153,13","153,15",2.0
"96,22","96,19",3.0
"2,74","3,73",1.41
"47,55","45,52",3.61
"129,61","129,58",3.0
"69,88","67,89",2.24
"97,27","95,28",2.24
"18,85","16,85",2.0
"123,33","122,30",3.16
"1,92","1,88",4.0
"74,36","73,33",3.16
"5,26","4,28",2.24
"74,103","73,104",1.41
"156,94","155,94",1.0
"4,76","3,76",1.0
"62,88","60,88",2.0
"23,2","23,1",1.0
"41,54","44,53",3.16
"32,112","30,110",2.83
"139,60","141,59",2.24
"26,92","25,92",1.0
"96,53","96,52",1.0
"187,52","185,53",2.24
"25,107","23,108",2.24
"138,67","138,68",1.0
"143,34","139,32",4.47
"157,44","156,41",3.16
"34,119","33,120",1.41
"188,18","178,10",12.81
"81,129","78,129",3.0
"104,50","103,50",1.0
"42,28","43,25",3.16
"183,6","183,4",2.0
"94,23","92,21",2.83
"165,19","164,18",1.41
"46,113","45,112",1.41
"21,122","21,124",2.0
"69,113","67,112",2.24
"112,125","111,126",1.41
"141,92","139,92",2.0
"128,67","127,69",2.24
"86,4","89,1",4.24
"115,19","114,16",3.16
"127,108","128,107",1.41
"60,53","61,54",1.41
"125,119","124,119",1.0
"177,55","176,58",3.16
"44,130","47,127",4.24
"152,24","149,22",3.61
"132,127","131,127",1.0
"140,14","144,12",4.47
"168,47","167,47",1.0
"134,117","132,117",2.0
"54,33","52,32",2.24
"18,105","15,104",3.16
"32,35","32,32",3.0
"82,123","78,122",4.12
"34,117","32,116",2.24
"8,25","7,17",8.06
"170,101","168,101",2.0
"142,39","136,42",6.71
"42,110","43,108",2.24
"4,89","3,88",1.41
"22,10","22,6",4.0
"166,15","164,12",3.61
"20,6","18,5",2.24
"157,87","155,87",2.0
"42,101","42,99",2.0
"85,50","86,49",1.41
"43,78","42,78",1.0
"154,97","152,97",2.0
"183,16","175,11",9.43
"3,103","2,101",2.24
"108,122","109,124",2.24
"120,40","119,40",1.0
"88,36","85,37",3.16
"110,47","108,47",2.0
"38,63","37,61",2.24
"187,113","185,113",2.0
"163,43","161,43",2.0
"90,64","90,62",2.0
"168,25","166,23",2.83
"122,110","123,110",1.0
"152,28","150,27",2.24
"158,9","159,9",1.0
"164,114","162,115",2.24
"126,3","122,2",4.12
"60,51","58,50",2.24
"133,98","132,98",1.0
"96,123","92,120",5.0
"188,53","186,53",2.0
"140,17","140,16",1.0
"77,24","76,22",2.24
"76,49","75,48",1.41
"176,14","172,10",5.66
"105,120","103,119",2.24
"74,54","73,54",1.0
"56,89","55,88",1.41
"50,31","51,30",1.41
"133,13","132,11",2.24
"7,115","6,114",1.41
"31,95","30,93",2.24
"135,1","131,2",4.12
"118,43","117,43",1.0
"74,90","75,89",1.41
"177,31","175,29",2.83
"117,92","117,91",1.0
"16,18","13,15",4.24
"107,111","109,111",2.0
"100,124","99,124",1.0
"124,6","124,5",1.0
"13,19","10,16",4.24
"132,60","131,61",1.41
"113,95","112,95",1.0
"158,23","158,22",1.0
"78,12","82,9",5.0
"17,96","18,95",1.41
"20,77","19,77",1.0
"127,45","126,46",1.41
"178,90","177,90",1.0
"28,66","29,66",1.0
"9,61","10,59",2.24
"159,22","155,23",4.12
"142,97","142,96",1.0
"130,53","129,53",1.0
"93,17","90,18",3.16
"129,68","128,67",1.41
"86,98","83,97",3.16
"93,57","94,55",2.24
"14,87","13,86",1.41
"143,42","140,41",3.16
"64,68","62,68",2.0
"122,74","122,73",1.0
"163,31","158,28",5.83
"164,125","161,123",3.61
"186,129","184,127",2.83
"140,130","138,130",2.0
"146,108","144,108",2.0
"108,90","107,91",1.41
"89,11","88,10",1.41
"163,75","163,74",1.0
"170,75","171,73",2.24
"149,84","147,84",2.0
"32,30","34,28",2.83
"174,54","173,53",1.41
"187,86","188,84",2.24
"110,119","108,120",2.24
"68,5","68,2",3.0
"71,83","70,83",1.0
"180,46","178,46",2.0
"184,93","185,92",1.41
"164,81","165,80",1.41
"128,12","131,11",3.16
"28,77","27,77",1.0
"10,40","11,34",6.08
"136,40","133,38",3.61
"180,99","180,98",1.0
"67,90","65,90",2.0
"146,37","143,36",3.16
"150,47","147,47",3.0
"95,56","94,56",1.0
"84,110","84,111",1.0
"18,20","21,16",5.0
"188,95","187,96",1.41
"37,73","36,72",1.41
"36,86","34,84",2.83
"169,54","169,53",1.0
"149,85","147,85",2.0
"106,112","105,110",2.24
"128,87","129,87",1.0
"155,96","154,96",1.0
"4,6","4,4",2.0
"155,11","150,8",5.83
"76,15","77,13",2.24
"167,18","166,15",3.16
"138,128","139,130",2.24
"126,85","125,83",2.24
"72,3","68,1",4.47
"5,120","3,119",2.24
"39,52","37,52",2.0
"34,49","32,48",2.24
"163,34","164,34",1.0
"14,67","12,67",2.0
"125,77","124,78",1.41
"136,55","137,55",1.0
"181,75","179,77",2.83
"62,44","63,42",2.24
"114,103","113,101",2.24
"100,90","98,89",2.24
"42,116","41,114",2.24
"33,36","30,36",3.0
"80,81","81,81",1.0
"185,4","182,1",4.24
"64,89","61,89",3.0
"105,34","102,35",3.16
"69,87","70,87",1.0
"64,126","63,125",1.41
"5,123","5,120",3.0
"47,46","45,47",2.24
"47,49","47,48",1.0
"74,7","71,8",3.16
"7,46","7,48",2.0
"96,37","94,35",2.83
"13,30","9,36",7.21
"80,117","83,118",3.16
"120,73","119,72",1.41
"168,1","167,1",1.0
"183,38","181,35",3.61
"75,124","77,123",2.24
"109,82","108,81",1.41
"127,10","122,9",5.1
"173,63","174,64",1.41
"42,39","44,39",2.0
"69,82","70,82",1.0
"60,2","54,4",6.32
"177,80","178,78",2.24
"59,117","60,116",1.41
"13,83","12,83",1.0
"14,81","13,82",1.41
"117,10","114,10",3.0
